# Русская строка<TAB>английская. Полноту проверяет i18n::tests::dictionary_matches_sources.
15 мин	15 min
5 мин	5 min
Cargo.toml не прочитан.	Cargo.toml could not be read.
cargo metadata не удался	cargo metadata failed
git fetch только узнаёт о новом на origin и ничего не меняет в рабочей копии.	git fetch only learns what is new on origin and never touches the working copy.
git не читается	git state could not be read
origin не ответил	origin did not respond
origin не ответил у	origin did not respond for
Библиотека: запускать нечего.	A library: nothing to run.
Бинарники	Binaries
В рабочей копии нет изменений.	The working copy has no changes.
Вернуть	Restore
Версия	Version
Ветка	Branch
Всё закоммичено	Everything is committed
Всё закоммичено и отправлено	Everything committed and pushed
Дерево	Tree
Добавить папку с проектами	Add a folder with projects
Добавить папку…	Add folder…
Добавьте папку, в которой лежат проекты на Rust: Anvil найдёт в ней всё, где есть Cargo.toml.	Add a folder with your Rust projects: Anvil will find everything that has a Cargo.toml.
Ещё	More
Заметки	Notes
Заметок нет	No notes
Здесь пока пусто: добавьте папку, в которой лежат проекты.	Nothing here yet: add a folder with your projects.
Здесь появятся HANDOFF.md, TODO.md, SPEC.md и README.md проекта.	The project's HANDOFF.md, TODO.md, SPEC.md and README.md will show up here.
Изменения	Changes
История появится после первого коммита.	History appears after the first commit.
Ищу проекты…	Looking for projects…
Код	Code
Командный центр Rust-программ	Command center for Rust apps
Коммитов нет	No commits
Коммиты	Commits
Крейтов	Crates
Меню	Menu
На origin есть новое	origin has new commits
Настройки	Settings
Настройки не прочитаны	Settings could not be read
Настройки не сохранены	Settings were not saved
Ничего не нашлось.	Nothing found.
О программе	About
Обновить	Refresh
Опрос origin	Checking origin
Открыть	Open
Открыть anvil.toml	Open anvil.toml
Открыть в VS Code	Open in VS Code
Открыть папку	Open folder
Папка не под git.	The folder is not under git.
Папка с проектами	Folder with projects
Папки с проектами	Project folders
Перечитать всё и спросить origin (F5)	Re-read everything and ask origin (F5)
Последний	Latest
Проверено	Checked
Проверять новые коммиты	Check for new commits
Проект — это сама папка или её подпапка, где есть Cargo.toml.	A project is the folder itself or a subfolder that has a Cargo.toml.
Проектов не видно	No projects in sight
Проекты	Projects
Репозиторий на GitHub	Repository on GitHub
Скрытые проекты	Hidden projects
Скрыть из списка	Hide from the list
Смотрю папки из настроек.	Looking through the folders from settings.
Состояние	Status
Состояние не прочитано.	Status could not be read.
Состояние прочитано	Status read
Спрашиваю origin…	Asking origin…
Спросить origin	Ask origin
Тег	Tag
Терминал в папке	Terminal here
Убрать папку	Remove folder
Читаю Cargo.toml…	Reading Cargo.toml…
Читаю состояние…	Reading status…
без git	no git
без origin	no origin
ветка не связана с origin	branch has no upstream
вручную	manually
вчера	yesterday
г. назад	y ago
добавлен	added
есть правки	uncommitted
ещё не у вас — нужен git pull	not here yet — git pull needed
запущен	running
запущено экземпляров	instances running
изменён	modified
конфликт слияния	merge conflict
мес. назад	mo ago
мин назад	min ago
назад	ago
не отслеживается	untracked
нет	none
нет тегов	no tags
ни разу	never
отсоединённый HEAD	detached HEAD
ошибка cargo	cargo error
ошибка git	git error
пакет	package
переименован	renamed
позади origin	behind origin
правка	edited
с ошибкой чтения	unreadable
с правками	with changes
скрыт из списка	hidden from the list
совпадает	in sync
только что	just now
удалён	deleted
ч назад	h ago
час	1 hour
чисто	clean
cargo clean удалит папку сборки целиком. Следующая сборка пойдёт с нуля и будет долгой.	cargo clean deletes the whole build folder. The next build starts from scratch and takes a while.
Вывод	Output
Добавить пресет	Add preset
Задачи	Tasks
Закрыть лог	Close log
Закрыть программу и собрать	Close the program and build
Запустить	Run
Запущенный файл переименуется рядом, программа доработает как есть, новая сборка ляжет на своё место.	The running file is renamed in place, the program keeps working, and the new build takes its spot.
Здесь появятся сборки, тесты и запуски.	Builds, tests and runs will show up here.
Компилятор ни о чём не предупредил.	The compiler had nothing to say.
Копировать лог	Copy log
Лог	Log
Лог скопирован	Log copied
Меньше — медленнее, но надёжнее: большим workspace может не хватить памяти на компоновку.	Fewer is slower but safer: big workspaces can run out of memory while linking.
Название	Name
Не запустилось	Failed to start
Остановить	Stop
Открыть лог	Open log
Отмена	Cancel
Отменить	Cancel
Отменить задачу	Cancel task
Отодвинуть exe и собрать	Move the exe aside and build
Очистить	Clean
Очистить сборку	Clean the build of
Очистить сборку…	Clean build…
Ошибки и предупреждения	Errors and warnings
Показать лог	Show log
Пресет	Preset
Пресет — это бинарник и аргументы: например, клиент с тестовым профилем. Главная кнопка «Запустить» берёт выбранный пресет.	A preset is a binary plus arguments, for example a client with a test profile. The main Run button uses the chosen preset.
Пресеты запуска	Run presets
Пресеты запуска…	Run presets…
Проверки	Checks
Программа получит команду закрыться, как от крестика окна. Если за 5 секунд не закроется — будет остановлена принудительно, несохранённое в ней пропадёт.	The program is asked to close, as if its window's close button was pressed. If it is still running after 5 seconds it is stopped forcibly, and unsaved work in it is lost.
Программа получит команду закрыться, как от крестика; через 5 секунд — принудительно. Несохранённое в ней может пропасть.	The program is asked to close, as if its close button was pressed; after 5 seconds it is stopped forcibly. Unsaved work in it may be lost.
Программа получит команду закрыться, как от крестика; через 5 секунд — принудительно. Потом сборка и запуск новой.	The program is asked to close, as if its close button was pressed; after 5 seconds it is stopped forcibly. Then the new build is made and started.
Программа сейчас запущена	The program is running
Сборка	Build
Сборка пойдёт в папку anvil внутри target: запущенная программа не мешает, но собираться придётся с нуля.	The build goes to an anvil folder inside target: the running program is not in the way, but everything is built from scratch.
Сборок разом (cargo -j)	Parallel jobs (cargo -j)
Скрыть лог	Hide log
Собрать	Build
Собрать в отдельную папку	Build into a separate folder
Собрать и запустить	Build and run
Тесты	Tests
Удалить пресет	Delete preset
Что запускать	What to run
авто	auto
аргументы, например --profile test	arguments, e.g. --profile test
в очереди	queued
готово	done
готово за	done in
ещё	more
задача в очереди	task queued
задача отменена	task cancelled
затем	then
идёт	running
идёт задача	task running
мин	min
не удалось	failed
не удалось — подробности в логе	failed — details in the log
остановлен	stopped
отменена	cancelled
ошибка	error
предупреждение	warning
с	s
сборка должна перезаписать exe, а Windows не даёт трогать запущенный файл.	the build has to overwrite the exe, and Windows does not let anyone touch a running file.
тестов прошло	tests passed
упало	failed
CI упал	CI failed
GitHub не ответил	GitHub did not answer
GitHub спрошен	GitHub checked
origin ведёт не на github.com или его нет.	origin does not point to github.com, or there is no origin.
Без токена: видны только публичные репозитории, 60 запросов в час	No token: only public repositories, 60 requests an hour
В репозитории нет GitHub Actions или они ещё ни разу не запускались.	The repository has no GitHub Actions, or they have never run.
Выпуск	Release
Выпуски	Releases
Выпуски появятся, когда на GitHub опубликуют первый Release.	Releases show up once the first one is published on GitHub.
Выпусков нет	No releases
Забыть	Forget
КБ	KB
МБ	MB
Ответ придёт через пару секунд.	The answer will arrive in a couple of seconds.
Проверяю доступ к GitHub…	Checking access to GitHub…
Прогон для вашего последнего коммита	The run for your latest commit
Прогон не для вашего последнего коммита: его ещё не отправили или CI не дошёл	Not a run for your latest commit: it is not pushed yet or CI has not got to it
Прогонов нет	No runs
Проект не на GitHub	Not on GitHub
Скачать в браузере	Download in the browser
Сохранить	Save
Спрашиваю GitHub…	Asking GitHub…
Токен GitHub обновлён	GitHub token updated
Токен не подошёл	Token rejected
Токен не сохранён	Token not saved
Хватит токена только на чтение (Contents, Actions, Metadata). Он хранится в хранилище учётных данных Windows и уходит только на api.github.com.	A read-only token is enough (Contents, Actions, Metadata). It is kept in Windows Credential Manager and sent only to api.github.com.
без итога	no result
вход как	signed in as
запросов осталось	requests left
не ваш HEAD	not your HEAD
отменён	cancelled
пред-выпуск	pre-release
прошёл	passed
с упавшим CI	with failing CI
свой токен	own token
свой токен: github_pat_…	own token: github_pat_…
токен git	git token
упал	failed
черновик	draft
шаг	step
Активная версия	Active version
В выпуске нет архива по соглашению или SHA256SUMS	The release has no conventional archive or SHA256SUMS
Версии	Versions
Из сборки	From build
На GitHub нет выпуска по соглашению: архива <бинарник>-X.Y.Z-windows-x64.zip и SHA256SUMS	No conventional release on GitHub: no <binary>-X.Y.Z-windows-x64.zip and SHA256SUMS
Открыть папку установки	Open install folder
С GitHub	From GitHub
Сделать текущей	Make current
Ставить нечего	Nothing to install
Удалить	Remove
Удалить установку	Remove the installation of
Удалить…	Remove…
Удалятся все установленные версии и ярлык в «Пуске». Данные программы в %APPDATA% останутся.	All installed versions and the Start menu shortcut are removed. The app's data in %APPDATA% stays.
Установка	Install
Установка — в папке Programs внутри %LOCALAPPDATA%, ярлык — в «Пуске». Данные программ живут в %APPDATA%, их Anvil не трогает.	Installs go to the Programs folder inside %LOCALAPPDATA%, the shortcut to the Start menu. App data lives in %APPDATA% and Anvil never touches it.
есть	available
запущена из установки	running from the install
не установлена	not installed
перезапустите программу	restart the app
поставлена	installed
